0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
342	antagelse	2	2.a	0.5220879316329956	0	0	1	1	0	0
343	antagelse	2	3	0.37008804082870483	0	0	1	0	0	1
344	antagelse	2.a	3	0.4984768033027649	0	0	0	0	0	1
345	antal	1	1.a	0.22837817668914795	2	0	23	1	0	0
346	apati	1	1.a	0.07454365491867065	1	0	0	1	0	0
347	apparat	1	2	0.32739871740341187	0	0	2	0	0	1
348	apparat	1	2.a	0.24181491136550903	0	0	7	0	0	1
349	apparat	2	2.a	0.34256047010421753	0	0	9	1	0	0
350	appel	1	2	0.4028407335281372	0	0	0	0	0	1
351	appel	1	2.a	0.341372549533844	0	0	4	0	0	1
352	appel	1	3	0.3742198348045349	0	0	3	0	0	1
353	appel	2	2.a	0.36146700382232666	0	0	4	1	0	0
354	appel	2	3	0.5714413821697235	0	0	3	0	0	1
355	appel	2.a	3	0.49563443660736084	0	0	1	0	0	1
356	appendiks	1	1.a	0.4333009123802185	0	0	1	1	1	1
357	appetit	1	1.a	0.08663922548294067	3	0	1	1	1	1
358	appetitlig	1	1.a	0.22366923093795776	1	0	1	1	1	1
359	appetitlig	1	1.b	0.5044325590133667	1	0	0	1	1	1
360	appetitlig	1.a	1.b	0.5379998981952667	1	0	1	1	2	0
361	arbejde	1	1.a	0.42909330129623413	4	2	17	1	0	0
362	arbejde	1	2	0.11171585321426392	4	0	10	0	0	1
363	arbejde	1	2.a	0.2711271047592163	0	0	8	0	0	1
364	arbejde	1	3	0.1652631163597107	0	0	11	0	0	1
365	arbejde	1	4	0.40478599071502686	4	0	17	0	0	1
366	arbejde	1.a	2	0.4226325750350952	4	0	7	0	0	1
367	arbejde	1.a	2.a	0.48726725578308105	0	0	9	0	0	1
368	arbejde	1.a	3	0.4676027297973633	0	0	6	0	0	1
369	arbejde	1.a	4	0.4411044120788574	4	0	0	0	0	1
370	arbejde	2	2.a	0.2935072183609009	0	0	2	1	0	1
371	arbejde	2	3	0.2015053629875183	0	0	1	0	0	1
372	arbejde	2	4	0.4240295886993408	4	0	7	0	0	1
373	arbejde	2.a	3	0.3564392924308777	1	0	3	0	0	1
374	arbejde	2.a	4	0.4251117706298828	0	0	9	0	0	1
375	arbejde	3	4	0.38896387815475464	0	0	6	0	0	1
376	arbejde	1	1.a	0.3928578495979309	0	0	2	1	0	1
377	arbejdsbi	1	1.a	0.49610447883605957	1	0	2	1	1	1
378	arbejdsdag	1	2	0.27665233612060547	2	0	0	0	0	1
379	arbejdsdyr	1	1.a	0.4689100980758667	1	0	1	1	1	1
380	arbejdsplads	1	1.a	0.43859726190567017	1	0	1	1	0	1
381	arbejdsplads	1	2	0.3638784885406494	0	0	2	0	0	1
382	arbejdsplads	1.a	2	0.5078651010990143	0	0	3	0	0	1
383	arbejdstid	1	2	0.23585903644561768	2	0	0	0	0	1
384	arbejdsuge	1	2	0.18996113538742065	2	0	1	0	0	1
385	arena	1	1.a	0.15318065881729126	1	0	0	1	0	0
386	arena	1	1.b	0.38325035572052	1	0	0	1	1	1
387	arena	1	1.c	0.4617885947227478	2	0	7	1	1	1
388	arena	1.a	1.b	0.37555426359176636	2	0	0	1	1	1
389	arena	1.a	1.c	0.5072508752346039	1	0	7	1	1	1
390	arena	1.b	1.c	0.48790377378463745	1	0	7	1	2	1
391	arkitekt	1	1.a	0.2514461874961853	3	0	2	1	0	0
392	arkitektur	1	2	0.16698014736175537	0	0	3	0	0	1
393	arkiv	1	1.a	0.31488192081451416	1	0	0	1	0	1
394	arm	1	1.a	0.46992361545562744	0	0	16	1	0	0
395	arm	1	2	0.300351083278656	0	0	17	0	0	1
396	arm	1	3	0.32029056549072266	0	0	17	0	0	1
397	arm	1.a	2	0.49583911895751953	0	0	1	0	0	1
398	arm	1.a	3	0.4849395155906677	0	0	1	0	0	1
399	arm	2	3	0.324923574924469	2	0	0	0	0	1
400	arrogant	1	1.a	0.32310372591018677	0	0	7	1	0	0
401	arsenal	1.a	1.b	0.0809561014175415	2	0	2	1	1	1
402	art	1	2	0.4404281973838806	0	0	9	0	0	1
403	artikel	1	2	0.3581728935241699	3	0	2	0	0	1
404	artikel	1	3	0.44539958238601685	0	0	1	0	0	1
405	artikel	2	3	0.5211885869503021	0	0	1	0	0	1
406	artikulere	1	1.a	0.44564902782440186	0	0	2	1	0	0
407	artikulere	1	2	0.3205186128616333	2	0	2	0	0	1
408	artikulere	1.a	2	0.3596423268318176	0	0	4	0	0	1
409	arv	1	1.a	0.24362200498580933	0	0	0	1	0	0
410	arv	1	2	0.3172139525413513	0	0	2	0	0	1
411	arv	1	2.a	0.37178659439086914	0	0	0	0	0	1
412	arv	1	3	0.3424244523048401	0	0	3	0	0	1
413	arv	1.a	2	0.3599572777748108	0	0	2	0	0	1
414	arv	1.a	2.a	0.3529388904571533	0	0	0	0	0	1
415	arv	1.a	3	0.4020504355430603	1	0	3	0	0	1
416	arv	2	2.a	0.2536581754684448	0	0	2	1	0	0
417	arv	2	3	0.30734050273895264	0	0	1	0	0	1
418	arv	2.a	3	0.39182841777801514	0	0	3	0	0	1
